# duration of 2000 ~= 1 second
# Freq       scan-squelch   audio-squelch   wait-duration    skip-duration
462562500     200           150             100              20000
462587500     200           150             100              20000
462612500     200           150             100              20000
462637500     200           150             100              20000
462662500     200           150             100              20000
462687500     200           150             100              20000
462712500     200           150             100              20000
467562500     200           150             100              20000
467587500     200           150             100              20000
467612500     200           150             100              20000
467637500     200           150             100              20000
467662500     200           150             100              20000
467687500     200           150             100              20000
467712500     200           150             100              20000
462550000     200           150             100              20000
462575000     200           150             100              20000
462600000     200           150             100              20000
462625000     200           150             100              20000
462650000     200           150             100              20000
462675000     200           150             100              20000
462700000     200           150             100              20000
462725000     200           150             100              20000
