# duration of 2000 ~= 1 second
# Freq       scan-squelch   audio-squelch   wait-duration    skip-duration
156050000     300           100             10000            -1
156175000     300           100             10000            -1
156250000     300           100             10000            -1
156275000     300           100             10000            -1
156300000     300           100             10000            -1
156325000     300           100             10000            -1
156350000     300           100             10000            -1
156375000     300           100             10000            -1
156400000     300           100             10000            -1
156425000     300           100             10000            -1
156450000     300           100             10000            -1
156475000     300           100             10000            -1
156500000     300           100             10000            -1
156525000     300           100             10000            -1
156550000     300           100             10000            -1
156575000     300           100             10000            -1
156600000     300           100             10000            -1
156625000     300           100             10000            -1
156650000     300           100             10000            -1
156675000     300           100             10000            -1
156700000     300           100             10000            -1
156725000     300           100             10000            -1
156750000     300           100             10000            -1
156800000     300           100             10000            -1
156850000     300           100             10000            -1
156875000     300           100             10000            -1
156900000     300           100             10000            -1
156925000     300           100             10000            -1
156950000     300           100             10000            -1
156975000     300           100             10000            -1
157000000     300           100             10000            -1
157000000     300           100             10000            -1
157025000     300           100             10000            -1
157050000     300           100             10000            -1
157075000     300           100             10000            -1
157100000     300           100             10000            -1
157125000     300           100             10000            -1
157150000     300           100             10000            -1
157175000     300           100             10000            -1
157200000     300           100             10000            -1
157225000     300           100             10000            -1
157250000     300           100             10000            -1
157275000     300           100             10000            -1
157300000     300           100             10000            -1
157325000     300           100             10000            -1
157350000     300           100             10000            -1
157375000     300           100             10000            -1
157400000     300           100             10000            -1
157425000     300           100             10000            -1
161600000     300           100             10000            -1
161800000     300           100             10000            -1
161825000     300           100             10000            -1
161850000     300           100             10000            -1
161875000     300           100             10000            -1
161900000     300           100             10000            -1
161925000     300           100             10000            -1
161950000     300           100             10000            -1
162000000     300           100             10000            -1
