# duration of 2000 ~= 1 second
# Freq       scan-squelch   audio-squelch   wait-duration    skip-duration
462562500     200           150             100              -1
462587500     200           150             100              -1
462612500     200           150             100              -1
462637500     200           150             100              -1
462662500     200           150             100              -1
462687500     200           150             100              -1
462712500     200           150             100              -1
467562500     200           150             100              -1
467587500     200           150             100              -1
467612500     200           150             100              -1
467637500     200           150             100              -1
467662500     200           150             100              -1
467687500     200           150             100              -1
467712500     200           150             100              -1
462550000     200           150             100              -1
462575000     200           150             100              -1
462600000     200           150             100              -1
462625000     200           150             100              -1
462650000     200           150             100              -1
462675000     200           150             100              -1
462700000     200           150             100              -1
462725000     200           150             100              -1
