# duration of 2000 ~= 1 second
# Freq       scan-squelch   audio-squelch   wait-duration    skip-duration
156050000     800           100             10000            -1
156175000     800           100             10000            -1
156250000     800           100             10000            -1
156275000     800           100             10000            -1
156300000     800           100             10000            -1
156325000     800           100             10000            -1
156350000     800           100             10000            -1
156375000     800           100             10000            -1
156400000     800           100             10000            -1
156425000     800           100             10000            -1
156450000     800           100             10000            -1
156475000     800           100             10000            -1
156500000     800           100             10000            -1
156525000     800           100             10000            -1
156550000     800           100             10000            -1
156575000     800           100             10000            -1
156600000     800           100             10000            -1
156625000     800           100             10000            -1
156650000     800           100             10000            -1
156675000     800           100             10000            -1
156700000     800           100             10000            -1
156725000     800           100             10000            -1
156750000     800           100             10000            -1
156800000     800           100             10000            -1
156850000     800           100             10000            -1
156875000     800           100             10000            -1
156900000     800           100             10000            -1
156925000     800           100             10000            -1
156950000     800           100             10000            -1
156975000     800           100             10000            -1
157000000     800           100             10000            -1
157000000     800           100             10000            -1
157025000     800           100             10000            -1
157050000     800           100             10000            -1
157075000     800           100             10000            -1
157100000     800           100             10000            -1
157125000     800           100             10000            -1
157150000     800           100             10000            -1
157175000     800           100             10000            -1
157200000     800           100             10000            -1
157225000     800           100             10000            -1
157250000     800           100             10000            -1
157275000     800           100             10000            -1
157300000     800           100             10000            -1
157325000     800           100             10000            -1
157350000     800           100             10000            -1
157375000     800           100             10000            -1
157400000     800           100             10000            -1
157425000     800           100             10000            -1
161600000     800           100             10000            -1
161800000     800           100             10000            -1
161825000     800           100             10000            -1
161850000     800           100             10000            -1
161875000     800           100             10000            -1
161900000     800           100             10000            -1
161925000     800           100             10000            -1
161950000     800           100             10000            -1
162000000     800           100             10000            -1
